File A,File B,AudioSim,VideoSim,TextSim,Match Category
Sample_Good_AV_720p - Copy.mp4,Sample_Good_AV_720p.mp4,1.0000,1.0000,1.0000,Duplicate
Sample_Good_AV_720p - Copy.mp4,Sample_Good_AV_720p_AudioSilence30s.mp4,0.8946,1.0000,1.0000,Video+Text Match
Sample_Good_AV_720p - Copy.mp4,Sample_Good_AV_720p_Audioremove30s.mp4,0.8946,1.0000,1.0000,Video+Text Match
Sample_Good_AV_720p - Copy.mp4,Sample_Good_AV_720p_CC(text).mp4,0.9990,0.9988,0.4506,Audio+Video Match
Sample_Good_AV_720p - Copy.mp4,Sample_Video_720p_FrenchAudio.mp4,0.4594,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p - Copy.mp4,Sample_Video_720p_GermanAudio.mp4,0.8419,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p - Copy.mp4,Sample_Video_720p_NoAudio.mp4,0.0000,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p - Copy.mp4,Sample_Video_720p_SpanishAudio.mp4,0.5459,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p.mp4,Sample_Good_AV_720p_AudioSilence30s.mp4,0.8946,1.0000,1.0000,Video+Text Match
Sample_Good_AV_720p.mp4,Sample_Good_AV_720p_Audioremove30s.mp4,0.8946,1.0000,1.0000,Video+Text Match
Sample_Good_AV_720p.mp4,Sample_Good_AV_720p_CC(text).mp4,0.9990,0.9988,0.4506,Audio+Video Match
Sample_Good_AV_720p.mp4,Sample_Video_720p_FrenchAudio.mp4,0.4594,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p.mp4,Sample_Video_720p_GermanAudio.mp4,0.8419,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p.mp4,Sample_Video_720p_NoAudio.mp4,0.0000,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p.mp4,Sample_Video_720p_SpanishAudio.mp4,0.5459,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p_AudioSilence30s.mp4,Sample_Good_AV_720p_Audioremove30s.mp4,1.0000,1.0000,1.0000,Duplicate
Sample_Good_AV_720p_AudioSilence30s.mp4,Sample_Good_AV_720p_CC(text).mp4,0.8947,0.9988,0.4506,Video Only Match
Sample_Good_AV_720p_AudioSilence30s.mp4,Sample_Video_720p_FrenchAudio.mp4,0.4381,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p_AudioSilence30s.mp4,Sample_Video_720p_GermanAudio.mp4,0.7946,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p_AudioSilence30s.mp4,Sample_Video_720p_NoAudio.mp4,0.0000,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p_AudioSilence30s.mp4,Sample_Video_720p_SpanishAudio.mp4,0.5380,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p_Audioremove30s.mp4,Sample_Good_AV_720p_CC(text).mp4,0.8947,0.9988,0.4506,Video Only Match
Sample_Good_AV_720p_Audioremove30s.mp4,Sample_Video_720p_FrenchAudio.mp4,0.4381,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p_Audioremove30s.mp4,Sample_Video_720p_GermanAudio.mp4,0.7946,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p_Audioremove30s.mp4,Sample_Video_720p_NoAudio.mp4,0.0000,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p_Audioremove30s.mp4,Sample_Video_720p_SpanishAudio.mp4,0.5380,0.9999,0.6633,Video+Text Match
Sample_Good_AV_720p_CC(text).mp4,Sample_Video_720p_FrenchAudio.mp4,0.4770,0.9987,0.4424,Video Only Match
Sample_Good_AV_720p_CC(text).mp4,Sample_Video_720p_GermanAudio.mp4,0.8376,0.9987,0.4424,Video Only Match
Sample_Good_AV_720p_CC(text).mp4,Sample_Video_720p_NoAudio.mp4,0.0000,0.9987,0.4424,Video Only Match
Sample_Good_AV_720p_CC(text).mp4,Sample_Video_720p_SpanishAudio.mp4,0.5441,0.9987,0.4424,Video Only Match
Sample_Video_720p_FrenchAudio.mp4,Sample_Video_720p_GermanAudio.mp4,0.6394,1.0000,1.0000,Video+Text Match
Sample_Video_720p_FrenchAudio.mp4,Sample_Video_720p_NoAudio.mp4,0.0000,1.0000,1.0000,Video+Text Match
Sample_Video_720p_FrenchAudio.mp4,Sample_Video_720p_SpanishAudio.mp4,0.4850,1.0000,1.0000,Video+Text Match
Sample_Video_720p_GermanAudio.mp4,Sample_Video_720p_NoAudio.mp4,0.0000,1.0000,1.0000,Video+Text Match
Sample_Video_720p_GermanAudio.mp4,Sample_Video_720p_SpanishAudio.mp4,0.6318,1.0000,1.0000,Video+Text Match
Sample_Video_720p_NoAudio.mp4,Sample_Video_720p_SpanishAudio.mp4,0.0000,1.0000,1.0000,Video+Text Match
